[00:00] 首先 这个案例是关于小划块的检测的案例。
[00:07] 大家再把素材倒入进去之后,可以看到这里面是不是有各种小物块。
[48:07] 那么Four循环的循环条件,硬撤一个i,莫人等于0i,小于ES1,i++。
[48:16] 然后在Four循环内部,我们的目的是不要给每一个豆子都要用文字做标记啊。
[48:23] 所以说在Four循环里边,创建文字工具,靠个Graphic Label,起个名字就叫Label,然后实力化一下。
[48:36] 那么文字工具创建好之后,是不是就可以做一幅判断了?
[48:41] 判断这边这里的每一个豆子的面积大小。
[48:46] 那么我们先把判断条件的框架得出来。
[48:52] 这里的话是一个多分之一句。
[48:59] 那么首先我们先判断小豆。
[49:02] 小豆刚刚说了,是不是它的面积小于15000就是小豆啊?
[49:06] 那么我们把面积得一下,叫做Blob1的结果的获取Blob的。
[49:12] 把所有的面积写进去。
[49:16] 当前的这个斑点的面积如果小于等于15000,那么说明它是不是就是小豆啊?
[49:24] 所以说Label的Texter为小豆。
[49:29] 那如果面积上边的这个面积啊,我就直接复制过来了。
[49:35] 大于15000的同时小于5000,那说明是不是就是中豆?
[49:46] 这个能理解吧?
[49:51] 这个能不能理解?
[49:54] 如果面积在15000到5000之间,就说明它是个中豆。
[50:00] 这不就是五万以上了?
[50:01] 这不就是大约等于五万?
[50:03] 所以说剩下的就是大豆。
[50:06] 那么豆子的区分就区分完了。
[50:09] 那我们把这个 Label 的内容写一下。
[50:12] 比如说颜色,我用一个形目的蓝色吧。
[50:17] 然后文字的放调,自行字体大小。
[50:20] 给大家写一下。
[50:22] 叫做开体,24号字体大小。
[50:27] 然后文字的坐标,是不是就是我们班点的这个坐标?
[50:34] 所以说我们还是把每一个班点的中心坐标推过来。
[50:42] 叫做 Center of MassX。
[50:45] Y也是一样的。
[50:47] Label.Y等于Blob1的 Center of MassY。
[50:56] 这样子的话,我们的每一个字,是不是就会出现到对应的班点的中心坐标上面了?
[51:02] 是不是?
[51:04] 这样的话,我们的文字设置好了。
[51:07] 那么文字设置好了,我们是不是就可以做输出了?
[51:11] 那么这么多文字都要做输出的话,
[51:14] 那我们在第二处创建的文字工具,
[51:16] 是不是无法在第三处这里一个一个的做输出?
[51:20] 所以说我们需要在第一处位置这里,
[51:22] 创建对应的集合,叫做CogRafecorlectionColECTIO.
[51:31] Corlection,名字,起个名。
[51:34] 我习惯,请起Box,然后给它实力画一下。
[51:38] CogRafecorlection,
[51:42] 把这个集合创建好之后,
[51:46] 在第二处代码,我们的文字,
[51:49] 是不是就可以一次一次的加入到Box当中了?
[51:53] 所以说,不要忘了把我们的文字加进去,
[51:56] 加进去之后,我们在每次运行的时候,
[51:59] 是不是还得确保我们的Box得清空一次?
[52:03] 不然,你的累积会越积越多。
[52:09] 那么写完之后,回到第三处代码,
[52:13] 咱们把结果输出一下。
[52:15] 那么我们就把结果输到这张图上吧。
[52:18] 第三处位置输出内容,我们用的是否意识,
[52:22] 将我们的Box比较的内容,
[52:24] 一个一个的通过否意识便利,输出出去。
[52:28] 那么循环条件,将Box的单个类型写出来,
[52:33] 单个类型的类型叫做IcogRafecor.
[52:40] 这是单个类型,然后起个名,
[52:43] 8,硬Box,然后把这里的8,
[52:46] 是不是就可以一个一个的通过,
[52:48] 迅换便利,都展示到图上去。
[52:51] 代码m2blog.addgrafecor.record,
[52:59] 然后按照这四个参数,一个一个的写进去。
[53:05] 图像叫做cogrflog1.inputimg,
[53:14] 写完之后,生成发行,没有什么大错误,
[53:17] 运行看看效果出来没有,
[53:20] 效果出来没有,效果是不是都出来了,
[53:25] 但是这表示的对吗?
[53:30] 怎么全是小豆呀?
[53:35] 在这里,我们可以检查一下代码,
[53:37] 看看哪里出错了,
[53:39] 肯定是逻辑上的错误,
[53:41] 我们来看看分支语句这里,
[53:43] 我们这里不小心怼了个15万,
[53:46] 怼个15000就可以了,多了个零,
[53:51] 这样子是不是对了?
[53:53] 这样子是不是对了?
[53:55] 小豆是小豆,大豆是大豆,中豆是中豆,
[53:58] 这样子的话,每一个豆子是不是就都区分出来了?
[54:02] 这就是该按例的一个做法,
[54:04] 大家学会了吧,
[54:06] 这个是豆类识别的按例,
[54:09] 代码跟刚刚的这个胶囊,
[54:12] 很类似,大家召谋话谱去写就可以了。
[54:19] 然后接下来给大家说一下,
[54:21] 这个线续识别,它是怎么识别的,
[54:25] 线续识别的话,跟刚刚我们做的这几个按例也类似,
[54:29] 代码也差不多,但是它的逻辑,大家需要搞明白,
[54:33] 线续识别,线续识别,
[54:35] 我们是不是得把每一个线的颜色给标注出来啊?
[54:38] 我给大家发的这个线续识别的这个颜色,
[54:41] 是不是有黑色,有红色,还有灰色啊?
[54:45] 所以说,你需要用这个视觉技术,
[54:48] 把这个线续识别的这个线的信息,
[54:54] 给展示上去,
[54:59] 大家看看效果,
[55:00] 你做出来的效果应该就是每一个线上是不是都得出现一个文字啊
[55:06] 做一个标注啊 这是什么色 这是什么色 这是什么色 这是什么色
[55:11] 这个逻辑大家会做吧 先通过颜色分割工具
[55:15] 假如说我要先逗一个黑色 那么是不是就用黑色
[55:19] 用这个颜色分割工具先把黑色给提出来
[55:23] 然后用Blob1把黑色的环点给弄出来
[55:26] 然后用脚本把黑色的文字都写上去
[55:30] 黑色的一样的道理
[55:33] 那么这个案例是不是就是我们刚刚做的这个
[55:38] 我们豆类识别将到识别到综合版的
[55:42] 在这里我们一共是用了三个手 是不是啊 大家试着做一个
[55:48] 这个是线续识别啊
